,Book Author,Book Owner,Book Title,Publication Year
88,nelson algren,ernest hemingway,"The man with the golden arm, a novel",1949
89,nelson algren,ernest hemingway,The neon wilderness,1960
90,nelson algren,ernest hemingway,The neon wilderness,1947
91,nelson algren,ernest hemingway,Never come morning,1942
92,nelson algren,ernest hemingway,A walk on the wild side,1956
93,american kennel club,ernest hemingway,Toy dogs: the breeds and standards as recognized by the American Kennel Club,1935
94,ted allan,ernest hemingway,This time a better earth; a novel,1939
95,american museum of natural history. new york city.,ernest hemingway,Birds of Paradise,1945
96,ted allan,ernest hemingway,"The scalpel, the sword: the story of Dr. Norman Bethune",1952
97,ethan allen,ernest hemingway,Major league baseball: technique and tactics,1940
98,frederick lewis allen,ernest hemingway,"The big change: America transforms itself, 1900-1950",1952
99,frederick lewis allen,ernest hemingway,The great Pierpont Morgan,1949
100,henry allen,ernest hemingway,The blue mustang,1957
101,henry allen,ernest hemingway,The tall men,1954
102,henry allen,ernest hemingway,Pillars of the sky,1956
103,herbert warner allen,ernest hemingway,The wines of France,1924
104,hervey allen,ernest hemingway,Anthony Adverse in America,1949
105,hervey allen,ernest hemingway,Anthony Adverse in Italy,1953
106,jerry allen,ernest hemingway,The adventures of Mark Twain,1954
107,robert s. allen,ernest hemingway,The Truman merry-go-round,1950
108,robert sharon allen (ed.),ernest hemingway,Our fair city,1950
109,walter ernest allen,ernest hemingway,The English novel; a short critical history,1955
110,[n.auth],ernest hemingway,Writers on writing,1959
111,american museum of natural history. new york city.,ernest hemingway,General guide to the American Museum of Natural History,1956
112,american museum of natural history. new york city.,ernest hemingway,General guide to the American Museum of Natural History,1956
113,francesca raimonde la monte,ernest hemingway,On the biology of the Atlantic marlins: Makaira ampla and Makaira albida,1958
114,cleveland amory,ernest hemingway,The last resorts,1952
115,cleveland amory,ernest hemingway,The Proper Bostonians,1947
116,cleveland amory,ernest hemingway,Who killed society?,1960
117,karl baedeker (firm),ernest hemingway,Italy from the Alps to Naples abridged handbook for travellers,1909
118,alfred andersch,ernest hemingway,Flight to afar,1958
119,karl baedeker,ernest hemingway,Spain and Portugal: handbook for travellers,1913
120,henry philip bernard baerlein,ernest hemingway,"Belmonte, the matador",1934
121,hans christian andersen,ernest hemingway,Andersen's fairy tales,1942
122,hans christian andersen,ernest hemingway,Contes d'Andersen,1930
123,hans christian andersen,ernest hemingway,Fiabe,1954
124,ventura bagüés,ernest hemingway,Al hilo de las tablas: episodios taurinos,1948
125,ventura bagüés,ernest hemingway,Efemérides taurinas : hoy hace años (Segunda serie de julio a diciembre),1928
126,jerome bahr,ernest hemingway,"The linen suit, and other stories",1957
127,jerome bahr,ernest hemingway,The platinum tower,1939
128,ambrose bierce,ernest hemingway,The collected writings,1946
129,ambrose bierce,ernest hemingway,Tales of soldiers & civilians,1943
130,[n.auth],ernest hemingway,Big game hunting,1946
131,francis hill bigelow,ernest hemingway,Historic silver of the Colonies and its makers,1941
132,henry christopher bailey,ernest hemingway,The apprehensive dog: a Reggie Fortune novel,1942
133,earl derr biggers,ernest hemingway,"Charlie Chan's caravan: The chinese parrot, The black camel, Charlie Chan carries on",1929
134,eileen bigland,ernest hemingway,Into China,1940
135,henry christopher bailey,ernest hemingway,The bishop's crime,1941
136,francesco bigliazzi,ernest hemingway,How to visit Florence and its neighborhood: an artistic illustrated guide,1949
137,fernand biguet,ernest hemingway,La pêche à la ligne d'aujourd'hui,1929
138,henry christopher bailey,ernest hemingway,The queen of spades: a Joshua Clunk mystery,1944
139,henry christopher bailey,ernest hemingway,The twittering bird mystery,1938
140,fernand biguet,ernest hemingway,"Pour apprendre à pêcher les petits poissons: Ablette, chabot, goujon, vairon, vandoise",1935
141,ray allen billington,ernest hemingway,Westward expansion; a history of the American frontier,1949
142,andré billy,ernest hemingway,Vie de Balzac,1944
143,john bainbridge,ernest hemingway,Garbo,1955
144,john edwin bakeless,ernest hemingway,Daniel Boone,1939
145,carlos heard baker,ernest hemingway,A friend in power,1958
146,james k. binder,ernest hemingway,One step forward: the correct comedy of not being god,1951
147,carlos heard baker,ernest hemingway,"Hemingway and his critics, an international anthology",1961
148,archie binns,ernest hemingway,Mighty mountain,1940
149,andré birabeau,ernest hemingway,Revelation,1930
150,carlos heard baker,ernest hemingway,Hemingway: scrittore e artista,1954
151,carlos heard baker,ernest hemingway,Hemingway: the writer as artist,1952
152,charles henry baker,ernest hemingway,"The Esquire culinary companion, being an exotic cookery book; or, Around Europe with knife, fork, and spoon",1959
153,charles henry baker,ernest hemingway,The gentleman's companion,1939
154,charles henry baker,ernest hemingway,The gentleman's companion,1946
155,[n.auth],ernest hemingway,Birds in natural colors: a monthly serial [bound edition],1899
156,baron christopher bromhead birdwood,ernest hemingway,"A continent decides; introducing two new members in the great and diverse family of the Commonwealth, and some of the problems which they offer for our understanding and solution",1953
157,clyde baker,ernest hemingway,"Modern gunsmithing: a manual of firearms design, construction and remodeling, for amateurs and professionals",1933
158,edward mayer baker,ernest hemingway,Short stories in the name of truth,1958
159,george baker,ernest hemingway,He is God: Father Divine's message to the world,1956
160,ray stannard baker,ernest hemingway,American chronicle; the autobiography of Ray Stannard Baker,1945
161,samuel white baker,ernest hemingway,"The Albert N'Yanza, great basin of the Nile and explorations of the Nile sources",1874
162,samuel white baker,ernest hemingway,"The Albert N'Yanza, great basin of the Nile and explorations of the Nile sources",1867
