,Book Author,Book Owner,Publication Year
0,Hallett Edward Abend,Ernest Hemingway,1941
1,Julián Acuña,Ernest Hemingway,1949
2,Cleve F. Adams,Ernest Hemingway,1944
3,Franklin P. Adams,Ernest Hemingway,1942
4,Henry Adams,Ernest Hemingway,1947
5,James Donald Adams,Ernest Hemingway,1945
6,James Truslow Adams,Ernest Hemingway,1944
7,James Truslow Adams,Ernest Hemingway,1943
8,Ramon F. Adams,Ernest Hemingway,1944
9,Samuel Hopkins Adams,Ernest Hemingway,1945
10,Charles Addams,Ernest Hemingway,1942
11,Herbert Agar,Ernest Hemingway,1940
12,James Agee,Ernest Hemingway,1941
13,Mary Allerton,Ernest Hemingway,1940
14,Rewi Alley,Ernest Hemingway,1940
15,[N.auth],Ernest Hemingway,1941
16,E. M. Almedingen,Ernest Hemingway,1944
17,Stewart Alsop,Ernest Hemingway,1946
18,Julio Alvarez del Vayo,Ernest Hemingway,1940
19,Armando Alvarez Pedroso,Ernest Hemingway,1944
20,José Amador de Los Rios,Ernest Hemingway,1943
21,Arturo Alberni,Ernest Hemingway,1947
22,Martha Albrand,Ernest Hemingway,1943
23,George Amberg,Ernest Hemingway,1947
24,Eric Ambler,Ernest Hemingway,1945
25,Eric Ambler,Ernest Hemingway,1943
26,Richard Aldington,Ernest Hemingway,1943
27,[N.auth],Ernest Hemingway,1941
28,James Aldridge,Ernest Hemingway,1944
29,Ciro Alegría,Ernest Hemingway,1941
30,American Automobile Association,Ernest Hemingway,1947
31,American Automobile Association,Ernest Hemingway,1947
32,American Automobile Association,Ernest Hemingway,1947
33,Nelson Algren,Ernest Hemingway,1949
34,Nelson Algren,Ernest Hemingway,1947
35,Nelson Algren,Ernest Hemingway,1942
36,American Museum of Natural History. New York City.,Ernest Hemingway,1945
37,Ethan Allen,Ernest Hemingway,1940
38,Frederick Lewis Allen,Ernest Hemingway,1949
39,Hervey Allen,Ernest Hemingway,1949
40,Cleveland Amory,Ernest Hemingway,1947
41,Hans Christian Andersen,Ernest Hemingway,1942
42,Ventura Bagüés,Ernest Hemingway,1948
43,Ambrose Bierce,Ernest Hemingway,1946
44,Ambrose Bierce,Ernest Hemingway,1943
45,[N.auth],Ernest Hemingway,1946
46,Francis Hill Bigelow,Ernest Hemingway,1941
47,Henry Christopher Bailey,Ernest Hemingway,1942
48,Eileen Bigland,Ernest Hemingway,1940
49,Henry Christopher Bailey,Ernest Hemingway,1941
50,Francesco Bigliazzi,Ernest Hemingway,1949
51,Henry Christopher Bailey,Ernest Hemingway,1944
52,Ray Allen Billington,Ernest Hemingway,1949
53,André Billy,Ernest Hemingway,1944
54,Archie Binns,Ernest Hemingway,1940
55,Charles Henry Baker,Ernest Hemingway,1946
56,Ray Stannard Baker,Ernest Hemingway,1945
57,William Balck,Ernest Hemingway,1948
58,Hanson Weightman Baldwin,Ernest Hemingway,1948
59,Hanson Weightman Baldwin,Ernest Hemingway,1941
60,Carel Birkby,Ernest Hemingway,1942
61,Elizabeth Bishop,Ernest Hemingway,1946
62,Herman Bishop,Ernest Hemingway,1942
63,John Peale Bishop,Ernest Hemingway,1948
