,Book Author,Book Owner,Book Title,Publication Year
0,Ernest Hemingway,Ernest Hemingway,Hemingway par lui-même,1959
1,Ernest Hemingway,Ernest Hemingway,Men at war; the best war stories of all time,1955
2,Ernest Hemingway,Ernest Hemingway,Men at war : the best war stories of all time,1952
3,Ernest Hemingway,Ernest Hemingway,Le vieil homme et la mer: Transcription dramatique du roman de Ernest Hemingway,1955
4,Georges Simenon,Ernest Hemingway,Ceux de la soif : Le cheval blanc : Les inconnus dans la maison,1951
5,Georges Simenon,Ernest Hemingway,45_ a_ l'ombre; Les clients d'Avrenos; Quartier ne_gre,1951
6,Georges Simenon,Ernest Hemingway,The hitchhiker,1957
7,Georges Simenon,Ernest Hemingway,Inspector Maigret and the burglar's wife,1957
8,Georges Simenon,Ernest Hemingway,Les noces de Poitiers ; le Rapport du gendarme ; G 7,1951
9,Georges Simenon,Ernest Hemingway,Tropic moon,1958
10,Ezra Pound   ,Ezra Pound,25 [i.e. Tjugufem] dikter,1953
11,Ezra Pound   ,Ezra Pound,1933: Past history: [criticism of James Joyce],1960
12,Ezra Pound   ,Ezra Pound,ABC for læsere,1960
13,Ezra Pound   ,Ezra Pound,"America, Roosevelt and the causes of the present war",1951
14,Ezra Pound   ,Ezra Pound,Cantemos al amor,1965
15,Ezra Pound   ,Ezra Pound,LXXV canto pisano,1964
16,Ezra Pound   ,Ezra Pound,Carta a C.J.C.,1960
17,Ezra Pound   ,Ezra Pound,Cinco poesias,1952
18,Ezra Pound   ,Ezra Pound,Drafts & Fragments of Cantos CX-CXVII,1968
19,Ezra Pound   ,Ezra Pound,E.P. ode pour l'election de son sepulcre,1951
20,Ezra Pound   ,Ezra Pound,Gold and work,1951
21,Ezra Pound   ,Ezra Pound,Secondo biglietto da visita,1953
22,Ezra Pound   ,Ezra Pound,Diptych Rome-London,1957
23,Ezra Pound   ,Ezra Pound,An introduction to the economic nature of the United States,1950
24,Ezra Pound   ,Ezra Pound,K_ntau I,1957
25,Ezra Pound   ,Ezra Pound,"The letters of Ezra Pound, 1907-1941",1950
26,Ezra Pound   ,Ezra Pound,"The letters of Ezra Pound, 1907-1941",1951
27,Ezra Pound   ,Ezra Pound,Maska i pie__: antologia poezji,1960
28,Ezra Pound   ,Ezra Pound,What is money for: An introductory text book,1951
29,Ezra Pound   ,Ezra Pound,A visiting card,1952
30,Ezra Pound   ,Ezra Pound,"Redondillas; or, Something of that sort",1967
31,Ezra Pound   ,Ezra Pound,"Redondillas, or something of that sort",1967
32,Ezra Pound   ,Ezra Pound,"The Seafarer, [translated by] Ezra Pound from the Anglo-Saxon ; with a portrait of the poet by Oskar Kokoschka",1965
33,Ezra Pound   ,Ezra Pound,Sekai bungaku no yomikata,1953
34,Ezra Pound   ,Ezra Pound,Versi prosaici,1959
35,Ernest Hemingway,Ernest Hemingway,Across the river and into the trees,1950
36,Ernest Hemingway,Ernest Hemingway,The old man and the sea,1952
37,Ezra Pound   ,Ezra Pound,Two essays,1957
38,Ezra Pound   ,Ezra Pound,Social credit: an impact (1935),1951
39,Ezra Pound,Ernest Hemingway,"A lume spento, 1908-1958",1958
40,Ezra Pound,Ernest Hemingway,"Cantos 91, 96",1958
41,Ezra Pound,Ernest Hemingway,Lavoro ed usura: tre saggi,1954
42,Ezra Pound,Ernest Hemingway,"The letters of Ezra Pound, 1907-1941",1950
43,Ezra Pound,Ernest Hemingway,"The letters of Ezra Pound, 1907-1941",1950
44,Ezra Pound,Ernest Hemingway,Pavannes and divagations,1958
45,Ezra Pound,Ernest Hemingway,Pavannes and divagations,1958
46,Ezra Pound,Ernest Hemingway,"A sampler from the new book: The letters of Ezra Pound, 1907-1941",1950
47,Gertrude Stein,Gertrude Stein,"Absolutely Bob Brown ; or, Bobbed Brown. A (previously unpublished) portrait by Gertrude Stein",1955
48,Gertrude Stein,Gertrude Stein,To Bobchen Haas : a village : are you ready yet not yet,1957
49,Gertrude Stein,Gertrude Stein,Drei leben,1960
