,Book Author,Book Owner,Publication Year
111,Peter Buckley,Ernest Hemingway,1958
112,Peter Buckley,Ernest Hemingway,1958
113,Peter Buckley,Ernest Hemingway,1955
114,Odón Betanzos Palacios,Ernest Hemingway,1957
115,Odon Betanzos Palacios,Ernest Hemingway,1958
116,Michael Bialoguski,Ernest Hemingway,1955
117,Eugene Burdick,Ernest Hemingway,1957
118,Martin Caidin,Ernest Hemingway,1957
119,James Mallahan Cain,Ernest Hemingway,1957
120,Italo Calvino,Ernest Hemingway,1959
121,Roderick William Cameron,Ernest Hemingway,1956
122,[N.auth],Ernest Hemingway,1959
123,Alfred Higgins Burne,Ernest Hemingway,1955
124,Roy Campbell,Ernest Hemingway,1957
125,Hallie Southgate Burnett,Ernest Hemingway,1957
126,William Edward March Campbell,Ernest Hemingway,1955
127,William Edward March Campbell,Ernest Hemingway,1955
128,Jorge Campos,Ernest Hemingway,1956
129,Albert Camus,Ernest Hemingway,1957
130,Francisco Candel,Ernest Hemingway,1959
131,Victor Canning,Ernest Hemingway,1956
132,James J. Cannon,Ernest Hemingway,1956
133,William Riley Burnett,Ernest Hemingway,1958
134,Eugene Burns,Ernest Hemingway,1955
135,Walter Noble Burns,Ernest Hemingway,1955
136,Elizabeth Burton,Ernest Hemingway,1958
137,Louise Bush-Brown,Ernest Hemingway,1958
138,Richard Ellmann,Ernest Hemingway,1959
139,Harold Elvin,Ernest Hemingway,1957
140,Louis Engel,Ernest Hemingway,1957
141,Hal G. Evarts,Ernest Hemingway,1956
142,José María Capdevila Marca,Ernest Hemingway,1956
143,Francis Carco,Ernest Hemingway,1957
144,Benjamin Carlin,Ernest Hemingway,1955
145,Alejo Carpentier,Ernest Hemingway,1957
146,Peter Carr,Ernest Hemingway,1957
147,Constance Carrier,Ernest Hemingway,1955
148,Sally Carrighar,Ernest Hemingway,1958
149,Charles Edmund Carrington,Ernest Hemingway,1955
150,John Alexander Carroll,Ernest Hemingway,1957
151,Robert Carse,Ernest Hemingway,1957
152,Robert Carse,Ernest Hemingway,1956
153,Robert Carson,Ernest Hemingway,1958
154,J. D. Carthy,Ernest Hemingway,1956
155,Joyce Cary,Ernest Hemingway,1955
156,Lionel Casson,Ernest Hemingway,1959
157,José María Castellet,Ernest Hemingway,1958
158,Gonzalo Castilla,Ernest Hemingway,1956
159,José Maria Castillo Navarro,Ernest Hemingway,1957
160,José Luis Castillo Puche,Ernest Hemingway,1956
161,José Luis Castillo Puche,Ernest Hemingway,1956
162,Manuel Castro,Ernest Hemingway,1958
163,Bruce Catton,Ernest Hemingway,1958
164,Camilo José Cela,Ernest Hemingway,1955
165,Camilo José Cela,Ernest Hemingway,1955
166,Camilo José Cela,Ernest Hemingway,1955
167,Camilo José Cela,Ernest Hemingway,1957
168,Camilo José Cela,Ernest Hemingway,1955
169,Camilo José Cela,Ernest Hemingway,1956
170,Benvenuto Cellini,Ernest Hemingway,1956
171,Tom T. Chamales,Ernest Hemingway,1957
172,Eileen Chang,Ernest Hemingway,1955
173,Hsin-hai Chang,Ernest Hemingway,1956
174,James Paul Chapin,Ernest Hemingway,1957
175,Clifton Fadiman,Ernest Hemingway,1957
176,John Jay Chapman,Ernest Hemingway,1957
177,D. E. Charlwood,Ernest Hemingway,1956
178,John Cheever,Ernest Hemingway,1957
179,Robert Faherty,Ernest Hemingway,1959
180,William Fain,Ernest Hemingway,1958
181,Selwyn Kip Farrington,Ernest Hemingway,1957
182,Negley Farson,Ernest Hemingway,1957
183,Alfred Hayes,Ernest Hemingway,1958
184,John Hearne,Ernest Hemingway,1957
185,W. L. Heath,Ernest Hemingway,1955
186,Eric William Heaton,Ernest Hemingway,1956
187,Heinz Helfgen,Ernest Hemingway,1955
188,Ernest Hemingway,Ernest Hemingway,1959
189,Ernest Hemingway,Ernest Hemingway,1955
190,Ernest Hemingway,Ernest Hemingway,1955
191,Cecil Hemley,Ernest Hemingway,1958
192,Philip Henderson,Ernest Hemingway,1959
193,Robert David Quixano Henriques,Ernest Hemingway,1956
194,George William Henry,Ernest Hemingway,1955
195,Nat Hentoff,Ernest Hemingway,1959
196,Rafael Hernández,Ernest Hemingway,1955
197,Giuseppe Fattorusso,Ernest Hemingway,1956
198,William Faulkner,Ernest Hemingway,1955
199,William Faulkner,Ernest Hemingway,1955
200,William Faulkner,Ernest Hemingway,1959
201,Frederick [Evan Evans] Faust,Ernest Hemingway,1958
202,John Hersey,Ernest Hemingway,1956
203,John Hersey,Ernest Hemingway,1959
204,Melville J. Herskovits,Ernest Hemingway,1955
205,Ronald Hewitt,Ernest Hemingway,1957
206,Gilbert Highet,Ernest Hemingway,1957
207,Weldon Hill,Ernest Hemingway,1957
208,Edmund Hillary,Ernest Hemingway,1955
209,Harold Percival Himsworth,Ernest Hemingway,1959
210,Hans Hinrichs,Ernest Hemingway,1955
211,Eric C. Hiscock,Ernest Hemingway,1959
212,Ernest Haycox,Ernest Hemingway,1957
213,Rose Caroline Feld,Ernest Hemingway,1955
214,Gene Feldman,Ernest Hemingway,1958
215,Edwin Felsinger,Ernest Hemingway,1956
216,Charles A. Fenton,Ernest Hemingway,1958
217,Charles A. Fenton,Ernest Hemingway,1958
218,Richard Ferber,Ernest Hemingway,1958
219,Erna Fergusson,Ernest Hemingway,1955
220,Erna Fergusson,Ernest Hemingway,1955
221,Ricardo Fernández de la Reguera,Ernest Hemingway,1955
222,Jesús Fernández Santos,Ernest Hemingway,1958
223,Jesús Fernández Santos,Ernest Hemingway,1957
224,George S. Fichter (ed.),Ernest Hemingway,1955
225,Editors of Field and Stream (periodical),Ernest Hemingway,1959
226,Daphne Fielding,Ernest Hemingway,1955
227,Kai-shek Chiang,Ernest Hemingway,1957
228,Marchette Gaylord Chute,Ernest Hemingway,1955
229,[N.auth],Ernest Hemingway,1955
230,[N.auth],Ernest Hemingway,1956
231,[N.auth],Ernest Hemingway,1957
232,[N.auth],Ernest Hemingway,1958
233,Jack Finney,Ernest Hemingway,1957
234,John Fitch,Ernest Hemingway,1959
235,Dudley Fitts,Ernest Hemingway,1958
236,Grancel Fitz,Ernest Hemingway,1957
237,F. Scott Fitzgerald,Ernest Hemingway,1957
238,F. Scott Fitzgerald,Ernest Hemingway,1957
239,Janet Flanner,Ernest Hemingway,1957
240,Ian Fleming,Ernest Hemingway,1957
241,Ian Fleming,Ernest Hemingway,1957
242,Ian Fleming,Ernest Hemingway,1957
243,Peter Fleming,Ernest Hemingway,1957
244,Sydney Clark,Ernest Hemingway,1959
245,Arthur Charles Clarke,Ernest Hemingway,1956
246,Samuel Langhorne Clemens,Ernest Hemingway,1959
247,Walter Clemons,Ernest Hemingway,1959
248,Sir Henry Clifford,Ernest Hemingway,1956
249,Stuart Cloete,Ernest Hemingway,1955
250,Stuart Cloete,Ernest Hemingway,1958
251,Stuart Cloete,Ernest Hemingway,1957
252,Robert Myron Coates,Ernest Hemingway,1955
253,Claud Cockburn,Ernest Hemingway,1956
254,Jean Cocteau,Ernest Hemingway,1956
255,Charles R. Codman,Ernest Hemingway,1955
256,Harold Flender,Ernest Hemingway,1957
257,Charles Bracelen Flood,Ernest Hemingway,1957
258,Martha Foley (ed.),Ernest Hemingway,1955
259,Michael Foot,Ernest Hemingway,1957
260,Gordon Forbes,Ernest Hemingway,1955
261,Art Cohn,Ernest Hemingway,1955
262,Robert Colby,Ernest Hemingway,1959
263,C. S. Forester,Ernest Hemingway,1956
264,Lonnie Coleman,Ernest Hemingway,1955
265,C. S. Forester,Ernest Hemingway,1955
266,Sidonie Gabrielle Colette,Ernest Hemingway,1955
267,Henry Hill Collins,Ernest Hemingway,1959
268,John Keats,Ernest Hemingway,1958
269,Edmund Keeley,Ernest Hemingway,1958
270,Vincent J-R Kehoe,Ernest Hemingway,1959
271,Peter Kemp,Ernest Hemingway,1957
272,Sir John Kennedy,Ernest Hemingway,1958
