,Book Author,Book Owner,Publication Year
0,Samuel White Baker,Ernest Hemingway,1874
1,Samuel White Baker,Ernest Hemingway,1875
2,Jules Gérard,Ernest Hemingway,1874
3,Thomas Chandler Haliburton,Ernest Hemingway,1872
4,Member of the Order of the Holy Cross,Ernest Hemingway,1871
5,Henry James,Ernest Hemingway,1877
6,Joseph E. Johnston,Ernest Hemingway,1874
7,José Sánchez de Neira,Ernest Hemingway,1879
8,George P. Sanderson,Ernest Hemingway,1879
9,Mrs. D. P. Sanford,Ernest Hemingway,1875
10,Joseph Strutt,Ernest Hemingway,1876
11,Arthur Bowen Richards Myers,Ernest Hemingway,1876
12,Albion Winegar Tourgée,Ernest Hemingway,1879
13,José Velázquez y Sanchez,Ernest Hemingway,1873
14,Eugène Emmanuel Viollet-le-Duc,Ernest Hemingway,1875
15,Charles Churchill ,W.H. Auden,1879
16,John White Chadwick,F. Scott Fitzgerald,1879
17,Bret Harte,F. Scott Fitzgerald,1871
18,Albert Schwegler   ,Ezra Pound,1872
19,Marcenus R. K. Wright   ,Ezra Pound,1870
20,Algernon Charles Swinburne   ,Ezra Pound,1878
21,Walter Besant   ,Ezra Pound,1879
22,Pietro Rota   ,Ezra Pound,1874
23,Walter Pater   ,Ezra Pound,1873
24,W. M. L. Jay,Ernest Hemingway,1871
25,Henry James              ,e.e. cummings,1878
26,William Edward Hartpole Lecky,Ernest Hemingway,1877
27,William John Fitzpatrick,James Joyce,1870
28,R. M. Ballantyne  ,W.B. Yeats,1874
29,A.L.O.E.  ,W.B. Yeats,1875
30,A. Warner  ,W.B. Yeats,1871
31,Charles C. F. Greville  ,W.B. Yeats,1875
32,Angelo de Gubernatis  ,W.B. Yeats,1872
33,Robert Herrick  ,W.B. Yeats,1876
34,Richard Michael Levey  ,W.B. Yeats,1870
35,Homer  ,W.B. Yeats,1876
36," ""Proteus"" (Wilfrid Scawen Blunt)  ",W.B. Yeats,1875
37,William Kirby  ,W.B. Yeats,1873
38,Mabinogion  ,W.B. Yeats,1877
39,Editors of The Medium and Daybreak  ,W.B. Yeats,1871
40,Editors of The Medium and Daybreak  ,W.B. Yeats,1872
41,Editors of The Medium and Daybreak  ,W.B. Yeats,1873
42,Eugene O'Curry  ,W.B. Yeats,1872
43,Eugene O'Curry  ,W.B. Yeats,1873
44,H. A. Page  ,W.B. Yeats,1878
45,Alfred John Pearce  ,W.B. Yeats,1879
46,Plato  ,W.B. Yeats,1875
47,William H. Prescott  ,W.B. Yeats,1875
48,A. Privat Deschanel  ,W.B. Yeats,1879
49,Pierre de Ronsard  ,W.B. Yeats,1873
50,Elizabeth Barrett Browning  ,W.B. Yeats,1872
51,Edmund Burke  ,W.B. Yeats,1877
52,Lewis Carroll  ,W.B. Yeats,1872
53,the Poet. George Chapman  ,W.B. Yeats,1873
54,Sara Coleridge Coleridge  ,W.B. Yeats,1875
55,Reginald S. Copleston  ,W.B. Yeats,1870
56,Walter Crane  ,W.B. Yeats,1874
57,William Crookes  ,W.B. Yeats,1874
58,John Dowden  ,W.B. Yeats,1873
59,Sir Charles Gavan Duffy  ,W.B. Yeats,1874
60,Charlotte Mary Yonge  ,W.B. Yeats,1873
61,William L Baily              ,e.e. cummings,1878
62,John Ruskin              ,e.e. cummings,1877
63,William Smith              ,e.e. cummings,1871
64,William James Stillman              ,e.e. cummings,1876
65,Sir Walter Scott              ,e.e. cummings,1872
66,Paul Konewka              ,e.e. cummings,1871
67,William L. Baily              ,e.e. cummings,1878
68,Frances Minto Dickinson Elliot              ,e.e. cummings,1873
69,John Ruskin              ,e.e. cummings,1875
70,Henry Schliemann              ,e.e. cummings,1878
71,Edward Gibbon              ,e.e. cummings,1877
72,P. L. Jacob              ,e.e. cummings,1874
73,William Harcourt Hooper              ,e.e. cummings,1879
74,Charles Greville              ,e.e. cummings,1874
75,James Dwight Dana              ,e.e. cummings,1875
76,Edward Everett Hale              ,e.e. cummings,1879
77,Charles Darwin              ,e.e. cummings,1874
78,Sir Walter Scott  ,W.B. Yeats,1871
79,Algernon Charles Swinburne  ,W.B. Yeats,1871
80,Baron Alfred Tennyson Tennyson  ,W.B. Yeats,1874
81,Sir Edward Burnett Tylor  ,W.B. Yeats,1873
82,Virgil  ,W.B. Yeats,1875
83,Horace Walpole  ,W.B. Yeats,1877
84,Mary Wollstonecraft  ,W.B. Yeats,1879
85, Anne Thackeray Ritchie ,Virginia Woolf,1876
86, Sir Leslie Stephen ,Virginia Woolf,1876
87, Joseph Grego ,Virginia Woolf,1875
88, Philip Stanhope Worsley ,Virginia Woolf,1875
89, John Henry Newman ,Virginia Woolf,1875
90, Homer ,Virginia Woolf,1875
91, Julius Caesar ,Virginia Woolf,1875
92, William Charles Macready ,Virginia Woolf,1875
93, Jean de La Fontaine ,Virginia Woolf,1873
94, Charles Wentworth Dilke ,Virginia Woolf,1875
95, George Chapman ,Virginia Woolf,1874
96, John Forster ,Virginia Woolf,1875
97, Aubrey De Vere ,Virginia Woolf,1875
98, Sydney Dobell ,Virginia Woolf,1875
99, Charles Kingsley ,Virginia Woolf,1875
100, Charles Kingsley ,Virginia Woolf,1875
101, Thomas Babington Macaulay ,Virginia Woolf,1875
102, Andrew Marvell ,Virginia Woolf,1872
103, John Stuart Mill ,Virginia Woolf,1875
104, Sir John Reresby ,Virginia Woolf,1875
105, John Henry Newman ,Virginia Woolf,1875
106, Sir Adolphus William Ward ,Virginia Woolf,1875
107, Thucydides ,Virginia Woolf,1872
108, Charles Greville ,Virginia Woolf,1874
109, John Eglington Bailey ,Virginia Woolf,1874
110, Algernon Charles Swinburne ,Virginia Woolf,1874
111, George Grote ,Virginia Woolf,1874
112, Hippolyte Taine ,Virginia Woolf,1874
113, Aeschylus ,Virginia Woolf,1874
114, Giovanni Boccaccio ,Virginia Woolf,1874
115, Robert Greene ,Virginia Woolf,1874
116, James Boswell ,Virginia Woolf,1874
117, William Blake ,Virginia Woolf,1874
118, Frederick Locker-Lampson ,Virginia Woolf,1874
119, John Henry Newman ,Virginia Woolf,1874
120, John Morley ,Virginia Woolf,1874
121, Herbert Spencer ,Virginia Woolf,1874
122, Samuel Butler ,Virginia Woolf,1873
123, John Henry Newman ,Virginia Woolf,1872
124, Isa Blagden ,Virginia Woolf,1873
125, Elizabeth Barrett Browning ,Virginia Woolf,1873
126, John Nichol ,Virginia Woolf,1873
127, John Stuart Mill ,Virginia Woolf,1873
128, Sir Philip Sidney ,Virginia Woolf,1873
129, Matthew Arnold ,Virginia Woolf,1873
130, Virgil ,Virginia Woolf,1872
131, John Morley ,Virginia Woolf,1872
132, Oliver Goldsmith ,Virginia Woolf,1872
133, John Henry Newman ,Virginia Woolf,1872
134, George Eliot ,Virginia Woolf,1871
135, George Grote ,Virginia Woolf,1872
136, John Henry Newman ,Virginia Woolf,1872
137, John Ruskin ,Virginia Woolf,1872
138, John Ruskin ,Virginia Woolf,1872
139, Augustus De Morgan ,Virginia Woolf,1872
140, James Cotter Morison ,Virginia Woolf,1872
