,Book Author,Book Owner,Book Title,Publication Year
355,homer,ernest hemingway,The Iliad of Homer,1928
356,irwin hood hoover,ernest hemingway,Forty-two years in the White House,1934
357,gerard manley hopkins,ernest hemingway,Poems of Gerard Manley Hopkins,1930
358,harrison forman,ernest hemingway,Through forbidden Tibet: an adventure into the unknown,1935
359,e. m. forster,ernest hemingway,Aspects of the novel,1927
360,ugo foscolo,ernest hemingway,Dei sepolcri: carme,1924
361,william foss,ernest hemingway,The Spanish arena,1938
362,anatole france,ernest hemingway,Itinéraire de Paris à Buenos-Ayres,1927
363,anatole france,ernest hemingway,La rôtisserie de la reine Pédauque,1921
364,waldo david frank,ernest hemingway,The re-discovery of America: an introduction to a philosophy of American life,1929
365,waldo david frank,ernest hemingway,Tales from the Argentine,1930
366,william henry fraser,ernest hemingway,Heath's new practical French grammar,1938
367,perry d. frazer,ernest hemingway,Elementary gunsmithing,1938
368,pierre frédérix,ernest hemingway,Souvenirs du tir aux hommes,1938
369,pierre dominique,ernest hemingway,Le siège de Paris,1932
370,charles lucieto,ernest hemingway,La guerre des cerveaux. En missions spéciales: Mémoires d'un agent des services secrets de l'Entente,1926
371,douglas southall freeman,ernest hemingway,R. E. Lee: a biography,1934
372,comte félix de luckner,ernest hemingway,Le dernier corsaire (1914-1918),1927
373,sigmund freud,ernest hemingway,The basic writings of Sigmund Freud,1938
374,richard freund,ernest hemingway,Watch Czechoslovakia!,1938
375,john frederick charles fuller,ernest hemingway,"Generalship, its diseases and their cure",1933
376,[n.auth],ernest hemingway,The Furnival book of short stories,1932
377,marie thérèse gadala,ernest hemingway,Nouveau monde: impressions d'Amérique,1934
378,galerie alfred flechtheim,ernest hemingway,"Ausstellungen, 1929",1929
379,arnold henry moore lunn,ernest hemingway,The complete ski-runner,1931
380,frank eugene lutz,ernest hemingway,Field book of insects of the United States and Canada,1935
381,denis david lyell,ernest hemingway,African adventure: letters from famous big-game hunters,1935
382,john gilbert bohun lynch,ernest hemingway,The prize ring,1925
383,robert staughton lynd,ernest hemingway,Middletown: a study in contemporary American culture,1929
384,joseph stanislaus galland,ernest hemingway,Progressive French grammar,1932
385,heliodoro gallego armesto,ernest hemingway,Los ferrocarriles de Galicia: novísma guía en forma de itinerarios descriptivos por el Dr. H. Gallego Armesto,1926
386,gerardo gallegos,ernest hemingway,El embrujo de Haití,1937
387,john galsworthy,ernest hemingway,The white monkey,1924
388,john galsworthy,ernest hemingway,The white monkey,1924
389,giuseppe garibaldi,ernest hemingway,A toast to rebellion,1937
390,david garnett,ernest hemingway,Go she must!,1927
391,david garnett,ernest hemingway,Lady into fox and A man in the zoo,1932
392,david garnett,ernest hemingway,No love,1929
393,david garnett,ernest hemingway,"Pocahontas; or, The nonparell of Virginia",1933
394,david garnett,ernest hemingway,"Pocahontas; or, The nonparell of Virginia",1933
395,david garnett,ernest hemingway,The sailor's return,1925
396,edward ballard garside,ernest hemingway,Cranberry red,1938
397,john gassner (ed.),ernest hemingway,Best American plays,1939
398,angelo gatti,ernest hemingway,Ilia et Albert,1934
399,john gay,ernest hemingway,The beggar's opera,1937
400,george eric rowe gedye,ernest hemingway,"Betrayal in central Europe: Austria and Czechoslovakia, the fallen bastions",1939
401,gösta af geijerstam,ernest hemingway,Northern summer,1937
402,martha gellhorn,ernest hemingway,What mad pursuit,1934
403,clifford gessler,ernest hemingway,Hawaii: isles of enchantment,1938
404,herbert wes mcbride,ernest hemingway,A rifleman went to war,1935
405,robert medill mcbride,ernest hemingway,Spanish towns and people,1928
406,archibald gordon macdonell,ernest hemingway,Napoleon and his marshals,1934
407,girard lindsley mcentee,ernest hemingway,Military history of the World War: a complete account of the campaigns on all fronts,1937
408,sir compton mackenzie,ernest hemingway,First Athenian memories,1931
409,arnold henry moore lunn,ernest hemingway,A history of ski-ing,1927
410,ödön von horváth,ernest hemingway,"The age of the fish, a novel",1939
411,ödön von horváth,ernest hemingway,"A child of our time, a novel",1939
412,frank olney hough,ernest hemingway,If not victory,1939
413,frank olney hough,ernest hemingway,Renown,1938
414,sidney coe howard,ernest hemingway,Half gods,1930
415,elbert hubbard,ernest hemingway,"Elbert Hubbard's scrap book, containing the inspired and inspiring selections, gathered during a life time of discrimina",1923
416,ibn battutah,ernest hemingway,Muhammad Ibn 'Abd Allah called Ibn Batutah: travels in Asia and Africa 1325-1354,1929
417,philip hamilton gibbs,ernest hemingway,"England speaks, being talks with roadsweepers, barbers, statesmen, lords and ladies, beggars, farming folk, actors, artists, literary gentlemen, tramps, down-and-outs, miners, steel workers, blacksmiths, the man-in-the-street, highbrows, lowbrows and all",1935
418,andré gide,ernest hemingway,"L'affaire Redureau, suivi de faits divers: documents réunis par André Gide",1930
419,andré gide,ernest hemingway,L'école des femmes,1930
