,Book Author,Book Owner,Book Title,Publication Year
0,Jacques Vital Belmas,Ernest Hemingway,"Journaux des sièges faits ou soutenus par les Français dans la péninsule de 1807 à 1814: Rédigés, d'après les ord",1836
1,William Buckland,Ernest Hemingway,"Geology and mineralogy considered with reference to natural theology: the Bridgewater treatises on the power, wisdom and",1837
2,[N.auth],Ernest Hemingway,"Chronicles of the Crusades, Being Contemporary Narratives of the Crusade of Richard Coeur de Lion, by Richard of Devize",1848
3,William Cornwallis Harris,Ernest Hemingway,"The wild sports of Southern Africa: being the narrative of an expedition from the cape of Good Hope, through the territories of the Chief Moselekatse, to the Tropic of Capricorn",1841
4,William Cornwallis Harris,Ernest Hemingway,"The wild sports of Southern Africa: being the narrative of an expedition from the cape of Good Hope, through the territories of the Chief Moselekatse, to the Tropic of Capricorn",1839
5,comtesse de María de las Mercedes Santa Cruz y Montalvo Merlin,Ernest Hemingway,La Havane,1844
6,Flavius Josephus,Ernest Hemingway,"The genuine works of Flavius Josephus, the Jewish historian: containing the twenty books of the Jewish antiquities",1821
7,Joseph Cundall,Ernest Hemingway,Robin Hood and his merry foresters,1845
8,George Thompson,Ernest Hemingway,"Prison life and reflections: or A narrative of the arrest, trial, conviction, imprisonment, treatment, observations, ref",1849
9,Nicolas Théru   ,Ezra Pound,Abrégé des antiquitiés romaine: ouvrage adopte par l'ancienne université de Paris: Orné de gravures,1825
10,Aeschylus   ,Ezra Pound,Aeschyli Tragoediae,1829
11,G. Pauthier   ,Ezra Pound,"Chine, ou Description historique: géographique et littéraire de ce vaste empire, d'après des documents chinois",1837
12,Theocritus   ,Ezra Pound,Codicum manuscriptorum ope,1844
13,William Roscoe   ,Ezra Pound,The life and pontificate of Leo the Tenth: in four volumes,1805
14,Antonio Lobero   ,Ezra Pound,Memorie storiche della Banca di S. Giorgio,1832
15,Thomas Jefferson   ,Ezra Pound,Notes on the state of Virginia,1825
16,[N.auth]   ,Ezra Pound,Obras maestras de Lope de Vega y Calderon de la Barca: con indice y observaciones esenciales al uso de los colegios y d,1840
17,Pindar   ,Ezra Pound,Pindari Carmina: ad optimorum librorum fidem accurate edita,1829
18,Manuel José Quintana   ,Ezra Pound,"Poesías selectas castellanas, desde el tiempo de Juan de Mena hasta nuestros dias",1807
19,Robert Burns   ,Ezra Pound,"The poetical works of Robert Burns,: including the pieces published in his correspondence and reliques, with his songs",1813
20,Titus Lucretius Carus   ,Ezra Pound,T. Lucretii Cari De rerum natura libri sex.: ex recensione Bipontina,1822
21,Paul de Kock,Ernest Hemingway,Jean,1835
22,Alphonse de Lamartine,Ernest Hemingway,Méditations poétiques,1823
23,Alain René Le Sage,Ernest Hemingway,Aventuras de Gil Blas de Santillana,1844
24,John Ranking,Ernest Hemingway,Historical researches on the wars and sports of the Mongols and Romans; in which elephants and wild beasts were employed,1826
