,Book Author,Book Owner,Book Title,Publication Year
25,[N.auth],Gertrude Stein,"Literature, Ancient and Modern : with specimens",1845
26,Edward Bulwer-Lytton,Gertrude Stein,"Alice, or, The Mysteries : a sequel to ""Ernest Maltravers""",1842
27,Benjamin Disraeli,Gertrude Stein,Alroy : a romance,1846
28,Benjamin Disraeli,Gertrude Stein,"Coningsby, or, The New Generation",1844
29,Charles Dickens,Gertrude Stein,Master Humphrey's Clock,1846
30,Oliver Goldsmith,Gertrude Stein,The Miscellaneous Works of Oliver Goldsmith,1834
31,Oliver Goldsmith,Gertrude Stein,The Miscellaneous Works of Oliver Goldsmith : with an account of his life and writings,1830
32,Maria Edgeworth,Gertrude Stein,Castle Rackrent and Irish Bulls,1832
33,Maria Edgeworth,Gertrude Stein,Popular Tales,1832
34,Maria Edgeworth,Gertrude Stein,Tales of Fashionable Life,1832
35,Maria Edgeworth,Gertrude Stein,Belinda,1833
36,Maria Edgeworth,Gertrude Stein,Leonora : with letters on several subjects,1833
37,Maria Edgeworth,Gertrude Stein,Patronage,1833
38,Maria Edgeworth,Gertrude Stein,Ormond,1833
39,Horace Walpole,Gertrude Stein,Memoires of the last ten years of the reign of George the Second,1822
40,Daniel Defoe,Gertrude Stein,The Political History of the Devil,1840
41,Daniel Defoe,Gertrude Stein,The life and surprising adventures of Robinson Crusoe,1845
42,Daniel Defoe,Gertrude Stein,The Memoirs of Captain George Carleton ; and The Life and Adventures of Mrs. Christian Davies,1840
43,Daniel Defoe,Gertrude Stein,The History and Reality of Apparitions,1840
44,Daniel Defoe,Gertrude Stein,The Life and Adventures of Mr. Duncan Campbell,1841
45,Daniel Defoe,Gertrude Stein,Memoirs of a Cavalier,1840
46,John Foxe,Gertrude Stein,"Book of Martyrs, or, A History of the Lives, Sufferings, and Triumphant Deaths, of the Primitive as well as Protestant Martyrs : from the commencement of Christianity to the latest periods of pagan and popish persecution ...",1830
47,Frances A. Butler,Gertrude Stein,Journal of a Residence in America,1835
48,Frederick Marryat,Gertrude Stein,Peter Simple,1835
49,Samuel Kilpin,Gertrude Stein,Memoir of the Rev. Samuel Kilpin : with extracts from his correspondence and papers,1832
50,Robert Burton,Gertrude Stein,"The Anatomy of Melancholy : what it is, with all the kinds, causes, symptoms, prognostices and several cures of it",1836
51,John Fenn,Gertrude Stein,"Paston Letters : original letters, written during the reigns of Henry VI, Edward IV, and Richard III by various persons of rank or consequence ; containing many curious anecdotes, relative to that period of our history",1841
52,Rodolphe Töpffer,Gertrude Stein,Collection des histoires en estampes,1846
53,William Hogarth,Gertrude Stein,The Works of William Hogarth : in a series of engravings,1833
54,Austen Henry Layard,Gertrude Stein,"Nineveh and its remains : with an account of a visit to the Chaldæan Christians of Kurdistan, and the Yezidis, or devil-worshippers, and an inquiry into the manners and arts of the ancient Assyrians",1849
55,John Milton,Gertrude Stein,The Prose Works of John Milton,1847
56,Frederick Marryat,Gertrude Stein,Mr. Midshipman Easy,1837
57,Frederick Marryat,Gertrude Stein,A Diary in America : with remarks on its institutions,1839
58,William Oldys,Gertrude Stein,"The Harleian Miscellany, or, A collection of scarce, curious, and entertaining pamphlets and tracts, as well in manuscript as in print, found in the late earl of Oxford's library, interspersed with historical, political, and critical notes",1808
59,Samuel Johnson,Gertrude Stein,The Works of Samuel Johnson,1825
60,Laurence Sterne,Gertrude Stein,The Works of Laurence Sterne,1815
61,Sir Walter Scott,Gertrude Stein,The Miscellaneous Prose Works of Sir Walter Scott,1841
62,Charlotte Brontë,Gertrude Stein,Shirley,1849
