,Book Author,Book Owner,Book Title,Publication Year
0,Louisa May Alcott,Ernest Hemingway,Under the lilacs,1893
1,[N.auth],Ernest Hemingway,Birds in natural colors: a monthly serial [bound edition],1899
2,Samuel White Baker,Ernest Hemingway,"The Albert N'Yanza, great basin of the Nile and explorations of the Nile sources",1874
3,Samuel White Baker,Ernest Hemingway,"The Albert N'Yanza, great basin of the Nile and explorations of the Nile sources",1867
4,Samuel White Baker,Ernest Hemingway,"Ismailïa: a narritive of the expedition to central Africa for the suppression of the slave trade. Organized by Ismail,",1875
5,Samuel White Baker,Ernest Hemingway,The rifle and the hound in Ceylon,1890
6,Samuel White Baker,Ernest Hemingway,"Wild beasts and their ways: reminiscences of Europe, Asia, Africa, and America",1891
7,William Charles Baldwin,Ernest Hemingway,"African hunting and adventure from Natal to the Zambesi, including Lake Ngami, the Kalahari desert, & etc. from 1851 to",1863
8,Maturin Murray Ballou,Ernest Hemingway,"History of Cuba; or, notes of a traveller in the tropics, being a political, historical, and statistical account of the",1854
9,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 1: La maison de chat-qui-pelote. La bal de Sceaux. La bourse. La vendetta.,1891
10,Honoré de Balzac,Ernest Hemingway,"Oeuvres complètes - Vol. 2: La fausse maîtress. Le paix du ménage. Etude de femme. Autre étude de femme, la Grande B",1891
11,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 4: La femme de trente ans. La femme abandonée.,1891
12,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 6: Modeste Mignon.,1891
13,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 7: Béatrix,1891
14,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 8: Le colonel Chabert. Honorine.,1891
15,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 10: Un début dans la vie. Madame Firmani. Le message. Le messe de l'athée.,1891
16,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 12: Ursule Mirouet.,1891
17,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 13: Eugénie Grandet.,1891
18,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 15: Les célibataires: Un ménage de garçon [La Rabouilleuse].,1891
19,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 16: L'illustre Caudissart. La muse du département.,1891
20,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 18: Le lys dans la vallée.,1891
21,Honoré de Balzac,Ernest Hemingway,"Oeuvres complètes - Vol. 19: Illusions perdues, I. Les delix poètes. Un grand homme de province à Paris.",1891
22,Honoré de Balzac,Ernest Hemingway,"Oeuvres complètes - Vol. 20: Illusions perdues, II. Un grand homme de province à Paris (suite).",1891
23,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 22: Splendeurs et misères des courtisanes. I. Comment aiment les filles.,1891
24,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 26: La maison Nucingen. Les secrets de la princess de Cadignan Sarrazine. Facino Cane. Un hom,1892
25,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 27: Les employés. Un prince de la Bohème. Gaudissart II. Pierre Grassou.,1892
26,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 29: Les parents pauvres: Le cousin Pons.,1892
27,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 30: Les petits bourgeouis (part I).,1892
28,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 34: Le désputé d'Arcis (part I).,1892
29,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 41: La recherche de l'absolu.,1892
30,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 42: Séraphita. Jesus-Christ en Flandre. Melmoth reconcilié. L'élixir de longue vie.,1892
31,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 43: Louis Lambert. Les proscrits. Adieu. Le réquisitionnaire. El verdugo.,1892
32,William Garden Blaikie,Ernest Hemingway,The personal life of David Livingstone... chiefly from his unpublished journals and correspondence in the possession of,1881
33,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 44: Le chef-d'oeuvre inconnu. Les Marana. Un drame au bord de la mer. L'auberge rouge. Maître,1892
34,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 45: L'enfant maudit. Gambara. Massimilla Doni.,1892
35,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 46: Sur Catherine de Médicis. I. Le martyr calviniste. II. La confidence des Ruggieri. III. L,1892
36,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 47: Physiologie du mariage.,1892
37,Honoré de Balzac,Ernest Hemingway,Oeuvres complètes - Vol. 48: Petites misères de la vie conjugale,1892
38,Vicente Blasco Ibáñez,Ernest Hemingway,Arroz y tartana: novela,1894
39,Vincente Blasco Ibáñez,Ernest Hemingway,La barraca: novela,1898
40,Charles Boner,Ernest Hemingway,Chamois hunting in the mountains of Bavaria and in the Tyrol,1860
41,Henry Walter Bates,Ernest Hemingway,"The naturalist on the river Amazons. A record of adventures, habits of animals, sketches of Brazilian and Indian life",1864
42,Stephen Bonsal,Ernest Hemingway,"The fight for Santiago: the story of the soldier in the Cuban campaign, from Tampa to the surrender",1899
43,Charles Baudelaire,Ernest Hemingway,Les fleurs du mal,1894
44,Robert Browning,Ernest Hemingway,The complete poetic and dramatic works of Robert Browning,1895
45,Peter Henry Emerson,Ernest Hemingway,"Caóba, the guerilla chief: a real romance of the Cuban rebellion",1897
46,Abel Chapman,Ernest Hemingway,"Wild Spain ... records of sport with rifle, rod, and gun, natural history and exploration",1893
47,G. A. Henty,Ernest Hemingway,Beric the Briton; a story of the Roman invasion,1893
48,G. A. Henty,Ernest Hemingway,True to the old flag; a tale of the American War of Independence,1896
49,Henry William Herbert,Ernest Hemingway,"The complete manual for young sportsmen: with directions for handling the gun, the rifle, and the rod",1857
50,Henry William Herbert,Ernest Hemingway,Frank Forester's fish and fishing of the United States and British provinces of North America,1864
51,Louis Figuier,Ernest Hemingway,The world before the deluge,1867
52,Grover Flint,Ernest Hemingway,"Marching with Gomez: a war correspondent's field note-book, kept during four months with the Cuban army",1898
53,John Cunningham Kelton,Ernest Hemingway,A new manual of the bayonet for the army and militia of the United States,1861
54,William Forsyth,Ernest Hemingway,History of the captivity of Napoleon at St. Helena; from the letters and journals of the late Lieut.-Gen. Sir Hudson Low,1853
55,Théophile Gautier,Ernest Hemingway,Ménagerie intime,1869
56,Jules Gérard,Ernest Hemingway,La chasse au lion,1874
57,Willard Glazier,Ernest Hemingway,Down the great river; embracing an account of the discovery of the true source of the Mississippi,1893
58,Thomas Hughes,Ernest Hemingway,Tom Brown's school days,1858
59,baron de Jean Baptiste Antoine Marcelin Marbot,Ernest Hemingway,The memoirs of Baron de Marbot: late lieutenant-general in the French army,1892
60,Mary Orvis Marbury,Ernest Hemingway,Favorite flies and their histories,1892
61,Richard Markham,Ernest Hemingway,"Colonial days : being stories and ballads for young patriots as recounted by five boys and five girls in ""Around the Yule Log"", ""Aboard the Mavis"", ""On the Edge of Winter""",1881
62,Frederick Marryat,Ernest Hemingway,Capt. Marryat's works,1898
63,Ulysses Simpson Grant,Ernest Hemingway,Personal memoirs,1885
64,William Wellington Greener,Ernest Hemingway,"The gun and its development, with notes on shooting",1881
65,James Greenwood,Ernest Hemingway,Wild sports of the world: a book of natural history and adventure,1880
66,Charles John Andersson,Ernest Hemingway,"Lake Ngami, or, Explorations and discoveries during four years' wanderings in the wilds of South Western Africa",1856
67,[N.auth],Ernest Hemingway,"Guía para los viajeros de los ferrocarriles de España, Francia y Portugal y delos servicios maritímos",1881
68,[N.auth],Ernest Hemingway,The habits of good society: a handbook for ladies and gentlemen,1868
69,Thomas Chandler Haliburton,Ernest Hemingway,The clockmaker: sayings and doings of Samuel Slick of Slickville,1872
70,Helen Harcourt,Ernest Hemingway,Florida fruits and how to raise them,1886
71,John Franklin Cowan,Ernest Hemingway,The jo-boat boys,1891
72,Pascual Millán,Ernest Hemingway,La Escuela de tauromaquia de Sevilla y el toreo moderno,1887
73,Pascual Millán,Ernest Hemingway,Los toros en Madrid: estudio histórico,1890
74,Pascual Millán,Ernest Hemingway,Los novillos: estudio histórica,1892
75,Member of the Order of the Holy Cross,Ernest Hemingway,"The Book of oratory: Compiled for the use of colleges, academies, and the higher classes of select and parish schools",1871
76,Henry James,Ernest Hemingway,The American,1877
77,Stephen Crane,Ernest Hemingway,Pictures of war,1898
78,Joseph E. Johnston,Ernest Hemingway,"Narrative of military operations, directed, during the late war between the states",1874
79,Frederick Sleigh Roberts,Ernest Hemingway,Forty-one years in India: from subaltern to commander-in-chief,1898
80,Albert William Money,Ernest Hemingway,Pigeon shooting,1896
81,Julia Kavanagh,Ernest Hemingway,Queen Mab,1864
82,Elizabeth Bacon Custer,Ernest Hemingway,"Tenting on the plains: or, General Custer in Kansas and Texas",1887
83,Richard Henry Dana Jr.,Ernest Hemingway,To Cuba and back. A vacation voyage,1859
84,Dante Alighieri,Ernest Hemingway,The divine comedy,1895
85,Henry Zouch Darrah,Ernest Hemingway,Sport in the highlands of Kashmir,1898
86,Robert Barnwell Roosevelt,Ernest Hemingway,"Superior fishing; or, The striped bass, trout, black bass, and blue-fish of the northern states",1884
87,Richard Harding Davis,Ernest Hemingway,The Cuban and Porto Rican campaigns,1898
88,Daniel Defoe,Ernest Hemingway,Roxana,1881
89,Charles Dickens,Ernest Hemingway,Pictures from Italy and American notes for general circulation,1859
