,Book Author,Book Owner,Publication Year
128,Samuel Rawson Gardiner              ,e.e. cummings,1887
129,Thomas Humphry Ward              ,e.e. cummings,1885
130,Percy Bysshe Shelley              ,e.e. cummings,1886
131,Matthew Arnold              ,e.e. cummings,1883
132,Edward Everett Hale              ,e.e. cummings,1886
133,nan,e.e. cummings,1880
134,Paul Bourget              ,e.e. cummings,1889
135,Maxime Du Camp              ,e.e. cummings,1889
136,Isaac Disraeli              ,e.e. cummings,1885
137,Baron Edward Bulwer Lytton Lytton              ,e.e. cummings,1886
138,Thomas Browne  ,W.B. Yeats,1886
139,[N.auth]  ,W.B. Yeats,1885
140,Reginald Scot  ,W.B. Yeats,1886
141,Alfred Sensier  ,W.B. Yeats,1881
142,William Shakespeare  ,W.B. Yeats,1881
143,Percy Bysshe Shelley  ,W.B. Yeats,1886
144,Percy Bysshe Shelley  ,W.B. Yeats,1885
145,Percy Bysshe Shelley  ,W.B. Yeats,1880
146,Sir William Smith  ,W.B. Yeats,1880
147,Roibea_rd O_ Faracha_in  ,W.B. Yeats,1887
148,Henry Halliday Sparling  ,W.B. Yeats,1888
149,Edmund Spenser  ,W.B. Yeats,1886
150,vicomte de Charles Spoelberch de Lovenjoul  ,W.B. Yeats,1886
151,Emanuel Swedenborg  ,W.B. Yeats,1883
152,Algernon Charles Swinburne  ,W.B. Yeats,1884
153,Algernon Charles Swinburne  ,W.B. Yeats,1886
154,John Addington Symonds  ,W.B. Yeats,1888
155,Henry David Thoreau  ,W.B. Yeats,1886
156,John Todhunter  ,W.B. Yeats,1881
157,Virgil  ,W.B. Yeats,1883
158,Arthur Edward Waite  ,W.B. Yeats,1888
159,Arthur Edward Waite  ,W.B. Yeats,1887
160,Arthur Edward Waite  ,W.B. Yeats,1888
161,John Webster  ,W.B. Yeats,1888
162,[N.auth]  ,W.B. Yeats,1888
163,Walt Whitman  ,W.B. Yeats,1887
164,Lady Jane Francesca Wilde  ,W.B. Yeats,1888
165,Andrew Wilson  ,W.B. Yeats,1882
166,W.B. Yeats  ,W.B. Yeats,1889
167,W.B. Yeats  ,W.B. Yeats,1889
168,W.B. Yeats  ,W.B. Yeats,1888
169,W.B. Yeats  ,W.B. Yeats,1888
170,W.B. Yeats  ,W.B. Yeats,1888
171,W.B. Yeats  ,W.B. Yeats,1888
172, Thucydides ,Virginia Woolf,1884
173, Lucian ,Virginia Woolf,1887
174, Henry James ,Virginia Woolf,1888
175, William Youatt ,Virginia Woolf,1888
176, Henry Jackson ,Virginia Woolf,1882
177, Titus Lucretius Carus ,Virginia Woolf,1886
178, Euripides ,Virginia Woolf,1885
179, Helen Zimmern ,Virginia Woolf,1889
180, Alfred Stephen ,Virginia Woolf,1888
181, Robert Schumann ,Virginia Woolf,1888
182, John Morley ,Virginia Woolf,1889
183, Aeschylus ,Virginia Woolf,1889
184, Jane Welsh Carlyle ,Virginia Woolf,1889
185, Aeschylus ,Virginia Woolf,1889
186, Mark Pattison ,Virginia Woolf,1889
187, Michel de Montaigne ,Virginia Woolf,1889
188, Henry George Liddell ,Virginia Woolf,1889
189, Denham Jordan ,Virginia Woolf,1889
190, Plato ,Virginia Woolf,1889
191, Edgar Allan Poe ,Virginia Woolf,1889
192, Rudolph Gneist ,Virginia Woolf,1889
193, Thomas Hobbes ,Virginia Woolf,1889
194, Thomas Finlayson Henderson ,Virginia Woolf,1889
195, Gustave Flaubert ,Virginia Woolf,1889
196, Homer ,Virginia Woolf,1889
197, Horace Smith ,Virginia Woolf,1889
198, Lord Alfred Tennyson ,Virginia Woolf,1889
199, Plato ,Virginia Woolf,1889
200, Greek Testament ,Virginia Woolf,1888
201, Henry James ,Virginia Woolf,1888
202, Thomas Carlyle ,Virginia Woolf,1888
203, W. J. S. Boake ,Virginia Woolf,1888
204, Janet Ross ,Virginia Woolf,1888
205, Heinrich Ritter ,Virginia Woolf,1888
206, William Makepeace Thackeray ,Virginia Woolf,1888
207, Robert Buchanan ,Virginia Woolf,1888
208, William Makepeace Thackeray ,Virginia Woolf,1888
209, William Makepeace Thackeray ,Virginia Woolf,1888
210, Henry Morley ,Virginia Woolf,1888
211, Margaret Veley ,Virginia Woolf,1888
212, James Russell Lowell ,Virginia Woolf,1888
213, Alphonse Daudet ,Virginia Woolf,1888
214, William Ernest Henley ,Virginia Woolf,1888
215, William Sharp ,Virginia Woolf,1888
216, James Russell Lowell ,Virginia Woolf,1888
217, Frederic William Maitland ,Virginia Woolf,1888
218, Euripides ,Virginia Woolf,1888
219, Plato ,Virginia Woolf,1888
220, John Morley ,Virginia Woolf,1888
221, Winthrop Mackworth Praed ,Virginia Woolf,1888
222, John Robert Seeley ,Virginia Woolf,1888
223, Homer ,Virginia Woolf,1886
224, John Ford ,Virginia Woolf,1888
225, Austin Dobson ,Virginia Woolf,1888
226, Richard Garnett ,Virginia Woolf,1888
227, Cornelius Tacitus ,Virginia Woolf,1888
228, Immanuel Kant ,Virginia Woolf,1888
229, Francis Beaumont ,Virginia Woolf,1887
