,Book Author,Book Owner,Publication Year
0,Charlotte Adams,Ernest Hemingway,1960
1,James Agee,Ernest Hemingway,1960
2,George Sumner Albee,Ernest Hemingway,1960
3,Album Cubane,Ernest Hemingway,1960
4,Nelson Algren,Ernest Hemingway,1960
5,Cleveland Amory,Ernest Hemingway,1960
6,Carlos Heard Baker,Ernest Hemingway,1961
7,Karen Blixen [Isak Dinesen],Ernest Hemingway,1960
8,James Barlow,Ernest Hemingway,1960
9,Peter S. Beagle,Ernest Hemingway,1960
10,Vance Bourjaily,Ernest Hemingway,1960
11,Ludwig Bemelmans,Ernest Hemingway,1960
12,Jim Brosnan,Ernest Hemingway,1960
13,John Brown,Ernest Hemingway,1961
14,Alan Burgess,Ernest Hemingway,1960
15,Morley Callaghan,Ernest Hemingway,1960
16,Ned Calmer,Ernest Hemingway,1961
17,Enrique C. Henríquez,Ernest Hemingway,1960
18,Paul Carell,Ernest Hemingway,1961
19,Paul Leonard,Ernest Hemingway,1960
20,S. Heriz-Smith,Ernest Hemingway,1962
21,John Hersey,Ernest Hemingway,1960
22,Adolf Hitler,Ernest Hemingway,1961
23,Alexander Fedoroff,Ernest Hemingway,1960
24,Leslie A. Fiedler,Ernest Hemingway,1960
25,[N.auth],Ernest Hemingway,1961
26,[N.auth],Ernest Hemingway,1960
27,William Robert Fitz-Gerald Collis,Ernest Hemingway,1960
28,Colombia,Ernest Hemingway,1960
29,Robert Glynn Kelly,Ernest Hemingway,1961
30,John Killinger,Ernest Hemingway,1960
31,Peter D. King,Ernest Hemingway,1960
32,Mario Franco Ruiz,Ernest Hemingway,1960
33,Angelo de Luca,Ernest Hemingway,1961
34,Joseph G. Fucilla,Ernest Hemingway,1961
35,Lewis Lusardi,Ernest Hemingway,1960
36,Franco Garzia,Ernest Hemingway,1960
37,Geoffrey Household,Ernest Hemingway,1960
38,Frank Gibney,Ernest Hemingway,1960
39,Nina Makarova,Ernest Hemingway,1960
40,Herbert Gold,Ernest Hemingway,1960
41,Jacob Pinheiro Goldberg,Ernest Hemingway,1960
42,Juan Goytisolo,Ernest Hemingway,1960
43,Juan Goytisolo,Ernest Hemingway,1960
44,Gwyn Griffin,Ernest Hemingway,1960
45,Miguel Guerra de Cea,Ernest Hemingway,1960
46,Alfred Bertram Guthrie,Ernest Hemingway,1960
47,James B. Hall,Ernest Hemingway,1960
48,Hallmark Cards Inc.,Ernest Hemingway,1960
49,Berkely Mather,Ernest Hemingway,1960
50,Emilio de Matteis,Ernest Hemingway,1960
51,Hammond Innes,Ernest Hemingway,1960
52,International Game Fish Association,Ernest Hemingway,1960
53,Charles Wright Mills,Ernest Hemingway,1960
54,Jessica Mitford,Ernest Hemingway,1960
55,Arthur Mizener,Ernest Hemingway,1960
56,Drew Middleton,Ernest Hemingway,1960
57,Nikolai N. Mikha_lov,Ernest Hemingway,1960
58,Kyle Samuel Crichton,Ernest Hemingway,1960
59,Geoffrey Jenkins,Ernest Hemingway,1960
60,Denis Johnston,Ernest Hemingway,1960
61,Madison Jones,Ernest Hemingway,1960
62,Norton Juster,Ernest Hemingway,1961
63,[N.auth],Ernest Hemingway,1960
64,Roman Karmen,Ernest Hemingway,1960
65,[N.auth],Ernest Hemingway,1962
66,Richard Dohrman,Ernest Hemingway,1960
67,John Dos Passos,Ernest Hemingway,1961
68,Maurice Druon,Ernest Hemingway,1960
69,Vito Dumas,Ernest Hemingway,1960
70,Gerald Durrell,Ernest Hemingway,1960
71,Lawrence Durrell,Ernest Hemingway,1960
72,Jean Dutourd,Ernest Hemingway,1961
73,Muriel Spark,Ernest Hemingway,1960
74,Elizabeth Spencer,Ernest Hemingway,1960
75,Mary Stegner,Ernest Hemingway,1960
76,Robert Chester Ruark,Ernest Hemingway,1961
77,Don Russell,Ernest Hemingway,1960
78,W. Sader,Ernest Hemingway,1960
79,Vincent Sheean,Ernest Hemingway,1960
80,Richard Martin Stern,Ernest Hemingway,1960
81,Robert Creeley,Ernest Hemingway,1960
82,Alan Sillitoe,Ernest Hemingway,1960
83,Alan Sillitoe,Ernest Hemingway,1960
84,Alan Moorehead,Ernest Hemingway,1960
85,Wright Morris,Ernest Hemingway,1960
86,André Salmon,Ernest Hemingway,1961
87,Cyrus Leo Sulzberger,Ernest Hemingway,1961
88,James Norman,Ernest Hemingway,1960
89,Gregorio Selser,Ernest Hemingway,1960
90,C. P. Snow,Ernest Hemingway,1960
91,Griffin Taylor,Ernest Hemingway,1960
92,Edwin Way Teale,Ernest Hemingway,1960
93,[N.auth],Ernest Hemingway,1960
94,Robert Shaplen,Ernest Hemingway,1960
95,Irwin Shaw,Ernest Hemingway,1960
96,Antero de Sousa,Ernest Hemingway,1960
97,Allan Nevins,Ernest Hemingway,1960
98,Chester Kallman ,W.H. Auden,1969
99,Alfred North Whitehead ,W.H. Auden,1960
100,Ronald Blythe ,W.H. Auden,1969
101,Sylvia Plath ,W.H. Auden,1965
102,Hans Werner Henze ,W.H. Auden,1966
103,James Thurber ,W.H. Auden,1961
104,Hans Werner Henze ,W.H. Auden,1966
105,Rudolf Franz Flesch ,W.H. Auden,1961
106,W. H Auden ,W.H. Auden,1965
107,Ivor Brown ,W.H. Auden,1961
108,W.H. Auden ,W.H. Auden,1969
109,Andrew Tully,Ernest Hemingway,1960
110,Walter De la Mare ,W.H. Auden,1961
111,W. H. Auden ,W.H. Auden,1966
112,U.S. Dept. of State,Ernest Hemingway,1960
113,W. H Auden ,W.H. Auden,1964
114,Charles Osborne ,W.H. Auden,1969
115,Johann Wolfgang von Goethe ,W.H. Auden,1966
116,Thomas Pynchon ,W.H. Auden,1966
117,Geoffrey Gorer ,W.H. Auden,1966
118,Hilde Spiel ,W.H. Auden,1961
119,Alan Ansen ,W.H. Auden,1966
120,Geoffrey Gorer ,W.H. Auden,1965
121,James Merrill ,W.H. Auden,1965
122,James Merrill ,W.H. Auden,1965
123,C. S Lewis ,W.H. Auden,1964
124,W.H. Auden ,W.H. Auden,1962
125,Elemire Zolla ,W.H. Auden,1968
126,Johann Wolfgang von Goethe ,W.H. Auden,1963
127,Hans Werner Henze ,W.H. Auden,1961
128,W. H. Auden ,W.H. Auden,1961
129,Charles Darwin ,W.H. Auden,1965
130,James Merrill ,W.H. Auden,1969
131,Franz Rosenzweig ,W.H. Auden,1961
132,Anonymous ,W.H. Auden,1960
133,Johann Wolfgang von Goethe ,W.H. Auden,1969
134,E M Forster ,W.H. Auden,1962
135,Jean Rhys ,W.H. Auden,1967
136,William Faulkner ,W.H. Auden,1961
137,W.E. Le Gros Clark ,W.H. Auden,1963
138,Friedrich Hölderlin ,W.H. Auden,1961
139,W. H Auden ,W.H. Auden,1960
140,Nigel Dennis ,W.H. Auden,1966
141,Alfred Tennyson Tennyson ,W.H. Auden,1962
142,Henry D. Thoreau ,W.H. Auden,1962
143,[N.auth] ,W.H. Auden,1964
144,P. IA Chaadaev ,W.H. Auden,1969
145,Erich Auerbach ,W.H. Auden,1965
146,Henry Mayhew ,W.H. Auden,1967
147,W. H Auden ,W.H. Auden,1963
148,Voice of America,Ernest Hemingway,1960
149,David Harry Walker,Ernest Hemingway,1960
150,Irving Wallace,Ernest Hemingway,1960
151,DH Lawrence  ,W.H. Auden,1960
152,Loren Eisely ,W.H. Auden,1966
153,Albert T. W. Simeons ,W.H. Auden,1962
154,W.H. Auden ,W.H. Auden,1966
155,Dag Hammarskjöld ,W.H. Auden,1964
156,Micha Livneh ,W.H. Auden,1965
157,Joseph P. Clancy ,W.H. Auden,1965
158,Sidney Alexander ,W.H. Auden,1965
159,Wilkie Collins ,W.H. Auden,1966
160,Hans Werner Henze ,W.H. Auden,1967
161,Stephen Tennant ,W.H. Auden,1961
162,John Ashbery ,W.H. Auden,1969
163,Magnus Magnusson ,W.H. Auden,1960
164,C. H Sisson ,W.H. Auden,1965
165,Horace ,W.H. Auden,1965
166,Benjamin Britten ,W.H. Auden,1964
167,E.R. Dodds ,W.H. Auden,1965
168,David Jones ,W.H. Auden,1963
169,J.R. Ackerley ,W.H. Auden,1969
170,C. M. Bowra ,W.H. Auden,1967
171,Otto Erich Deutsch ,W.H. Auden,1965
172,Anthony Rossiter ,W.H. Auden,1969
173,A. R. Davis ,W.H. Auden,1962
174,Geoffrey Bownas ,W.H. Auden,1964
175,Frederick Brittain ,W.H. Auden,1962
176,S. S Prawer ,W.H. Auden,1964
177,Donald Attwater ,W.H. Auden,1965
178,August Strindberg ,W.H. Auden,1964
179,A.C. Graham ,W.H. Auden,1965
180,Stephen Spender ,W.H. Auden,1964
181,Theodore H. White,Ernest Hemingway,1960
182,Robert V. Williams,Ernest Hemingway,1960
183,Colin Wilson,Ernest Hemingway,1960
184,Erle Wilson,Ernest Hemingway,1960
185,Wallace Southam ,W.H. Auden,1966
186,John Bowle ,W.H. Auden,1964
187,B. V Winebaum ,W.H. Auden,1965
188,Karl Kerényi ,W.H. Auden,1962
189,Igor Stravinsky ,W.H. Auden,1969
190,Robert W. Gutman ,W.H. Auden,1968
191,Arthur H. Winkley,Ernest Hemingway,1960
192,Lincoln Kirstein ,W.H. Auden,1964
193,Patrick Leigh Fermor ,W.H. Auden,1966
194,John Ruskin ,W.H. Auden,1964
195,Robert Friend ,W.H. Auden,1964
