,Book Author,Book Owner,Publication Year
0,George Adam,Ernest Hemingway,1929
1,George Adam,Ernest Hemingway,1928
2,Joseph Alexander Altsheler,Ernest Hemingway,1923
3,Federico M. Alcázar,Ernest Hemingway,1922
4,Léon Ameline,Ernest Hemingway,1926
5,Richard Aldington,Ernest Hemingway,1926
6,Wilfrid Backhouse Alexander,Ernest Hemingway,1928
7,Brooks Van Wyck,Ernest Hemingway,1927
8,Herbert Warner Allen,Ernest Hemingway,1924
9,Ventura Bagüés,Ernest Hemingway,1928
10,Earl Derr Biggers,Ernest Hemingway,1929
11,Fernand Biguet,Ernest Hemingway,1929
12,Charles Montague Bakewell,Ernest Hemingway,1920
13,E.T. Ellis,Ernest Hemingway,1921
14,Vicente Blasco Ibáñez,Ernest Hemingway,1926
15,Vicente Blasco Ibáñez,Ernest Hemingway,1920
16,Maurice Baring,Ernest Hemingway,1920
17,Maxwell Bodenheim,Ernest Hemingway,1929
18,Pio Baroja y Nessi,Ernest Hemingway,1926
19,Pio Baroja y Nessi,Ernest Hemingway,1924
20,Joseph Michaël Thomas Barretto de Souza,Ernest Hemingway,1922
21,[N.auth],Ernest Hemingway,1927
22,National Geographic Society,Ernest Hemingway,1924
23,National Geographic Society,Ernest Hemingway,1924
24,[N.auth],Ernest Hemingway,1921
25,George Henry Borrow,Ernest Hemingway,1923
26,James Boswell,Ernest Hemingway,1925
27,James E. Baum,Ernest Hemingway,1927
28,Claude Gernade Bowers,Ernest Hemingway,1929
29,Claude Gernade Bowers,Ernest Hemingway,1929
30,Thomas Beer,Ernest Hemingway,1924
31,[N.auth],Ernest Hemingway,1928
32,Ernest Augustus Boyd,Ernest Hemingway,1924
33,James Boyd,Ernest Hemingway,1928
34,John Bay Beith,Ernest Hemingway,1921
35,James Boyd,Ernest Hemingway,1927
36,Thomas Alexander Boyd,Ernest Hemingway,1929
37,John Boyes,Ernest Hemingway,1928
38,Kay Boyle,Ernest Hemingway,1929
39,Neil Boyton,Ernest Hemingway,1923
40,Charles Brackett,Ernest Hemingway,1929
41,Braun et Compagnie,Ernest Hemingway,1920
42,Charles Marcus Breder,Ernest Hemingway,1929
43,André Breton,Ernest Hemingway,1928
44,Gertrude Lowthian Bell,Ernest Hemingway,1927
45,Charlotte Brontë,Ernest Hemingway,1924
46,Pierre Benoit,Ernest Hemingway,1920
47,Stella Benson,Ernest Hemingway,1922
48,Tristan Bernard,Ernest Hemingway,1925
49,Conrad Aiken,Ernest Hemingway,1925
50,John Buchan,Ernest Hemingway,1929
51,John Buchan,Ernest Hemingway,1927
52,John Buchan,Ernest Hemingway,1922
53,John Buchan,Ernest Hemingway,1922
54,John Buchan,Ernest Hemingway,1927
55,John Buchan,Ernest Hemingway,1928
56,John Buchan,Ernest Hemingway,1924
57,John Buchan,Ernest Hemingway,1927
